iteration	epsilon	negativeRewardCount	zeroRewardCount	terminal_reward_count	average_rewards	averageScore	slidingWindowAverageScore	loss_on_v	loss_on_p	reward_count	time(s)
2016	0.982	246	749	None	-0.1655	-0.6276	-0.8462	24.2467	3.2028	{"0": 749, "10": 8, "-1": 246}	40.2423
1013	0.9911	302	390	None	0.0931	-0.1801	-0.3294	6.8242	0.8338	{"0.0": 390, "-0.031299999999999994": 90, "2.9375999999999998": 5, "3.1563": 40, "3.2187": 4, "0.125": 15, "-0.031200000000000006": 10, "10": 10, "3.1562": 2, "0.0625": 5, "0.031299999999999994": 76, "3.0937": 19, "-0.1874": 9, "3.2188": 2, "3.1875999999999998": 3, "0.0937": 24, "-0.125": 11, "-0.0625": 8, "3.125": 43, "3.0": 9, "3.1875": 2, "-0.0937": 10, "3.25": 4, "0.06259999999999999": 3, "3.0624000000000002": 3, "0.031200000000000006": 16, "3.0313": 10, "-3.125": 158, "3.0312": 3, "0.0938": 2, "0.1874": 14, "-0.06259999999999999": 4, "3.0938": 5, "-0.0938": 2, "3.0625": 2}	19.8213
2001	0.9822	293	392	None	0.1497	-0.0297	-0.0175	8.6078	3.179	{"-0.031299999999999994": 87, "-0.0937": 18, "-0.125": 12, "3.1875": 5, "3.0937": 20, "0.125": 23, "0.0938": 2, "10": 15, "3.2187": 1, "3.1562": 3, "-0.0625": 7, "-0.031200000000000006": 12, "3.0312": 3, "-0.1874": 11, "3.0313": 8, "3.1875999999999998": 1, "0.0937": 18, "0.0625": 7, "0.0": 392, "3.0625": 4, "3.0": 11, "0.031299999999999994": 65, "3.25": 4, "3.0938": 4, "3.0624000000000002": 1, "0.031200000000000006": 10, "3.2188": 2, "3.1563": 37, "0.06259999999999999": 2, "0.1874": 20, "2.9375999999999998": 1, "-0.06259999999999999": 2, "-3.125": 142, "-0.0938": 2, "3.125": 36}	40.1522
3000	0.9732	321	342	None	0.0679	-0.4586	-0.2337	5.8915	17.7998	{"0.031299999999999994": 79, "-0.031299999999999994": 84, "2.9375999999999998": 6, "3.0937": 34, "3.1562": 2, "-0.125": 15, "0.0938": 1, "3.0938": 3, "-0.0625": 5, "0.0": 342, "-0.031200000000000006": 7, "3.2187": 4, "-0.1874": 5, "3.2188": 3, "3.1875999999999998": 6, "0.031200000000000006": 8, "0.125": 21, "0.0625": 5, "3.1563": 38, "3.0": 11, "3.1875": 3, "-0.0937": 12, "3.125": 45, "0.06259999999999999": 4, "3.0624000000000002": 3, "-0.0938": 3, "3.0313": 11, "-3.125": 181, "10": 7, "0.1874": 15, "3.0625": 2, "-0.06259999999999999": 9, "0.0937": 16, "3.25": 9}	60.3128
4017	0.964	322	349	None	0.1207	-0.3265	-0.3912	7.988	33.986	{"0.0": 349, "-0.031299999999999994": 89, "2.9375999999999998": 7, "3.0312": 4, "3.2187": 2, "-0.125": 13, "-0.0937": 16, "-0.06259999999999999": 3, "10": 14, "-0.0625": 6, "0.031299999999999994": 69, "3.0937": 25, "-0.1874": 11, "3.1875999999999998": 5, "-0.0938": 3, "0.125": 25, "0.0625": 6, "3.1563": 34, "3.0625": 4, "3.1875": 4, "-0.031200000000000006": 6, "3.0": 13, "3.0313": 5, "3.0624000000000002": 3, "0.031200000000000006": 11, "3.0938": 9, "0.06259999999999999": 4, "0.1874": 22, "0.0938": 3, "3.25": 9, "-3.125": 175, "0.0937": 23, "3.125": 45}	82.3354
5009	0.9551	297	379	None	0.0809	-0.4078	-0.3475	6.2998	33.3343	{"0.0": 379, "0.031299999999999994": 78, "2.9375999999999998": 3, "3.0937": 26, "3.2187": 2, "-0.125": 14, "0.06259999999999999": 5, "-0.0937": 5, "10": 8, "3.1562": 1, "-0.031200000000000006": 7, "3.0312": 2, "0.1874": 15, "-0.0938": 3, "3.1875999999999998": 4, "-0.031299999999999994": 85, "0.0625": 4, "0.125": 14, "3.0": 7, "3.25": 7, "0.0938": 2, "3.125": 52, "3.2188": 2, "3.0624000000000002": 2, "0.0937": 11, "3.1563": 35, "-3.125": 168, "3.0938": 6, "-0.1874": 8, "-0.06259999999999999": 7, "3.1875": 1, "3.0313": 13, "0.031200000000000006": 11, "3.0625": 5}	102.6793
6016	0.946	301	397	None	0.1336	0.0586	0.1556	5.9818	29.601	{"0.0": 397, "-0.031299999999999994": 108, "2.9375999999999998": 1, "3.1563": 30, "3.2187": 3, "-0.0625": 4, "-0.0937": 9, "-0.06259999999999999": 2, "10": 14, "3.1562": 3, "0.0625": 4, "-0.031200000000000006": 7, "3.0937": 20, "-0.1874": 9, "3.1875999999999998": 3, "0.0937": 14, "0.125": 17, "-0.125": 10, "3.125": 54, "3.25": 6, "0.031299999999999994": 87, "3.0": 11, "0.06259999999999999": 5, "3.0624000000000002": 1, "-0.0938": 4, "3.0938": 1, "-3.125": 148, "0.0938": 4, "0.1874": 12, "3.0625": 4, "3.0313": 6, "0.031200000000000006": 6, "3.1875": 3}	123.5586
7017	0.937	296	386	None	0.1249	-0.3808	-0.4869	5.6172	32.4047	{"0.1874": 20, "-0.0937": 15, "-0.0625": 5, "3.125": 51, "3.0312": 1, "0.0": 386, "-0.031200000000000006": 6, "10": 13, "3.0937": 26, "0.0625": 7, "0.031299999999999994": 66, "3.0625": 5, "-0.1874": 9, "3.2188": 1, "3.1875999999999998": 3, "-0.031299999999999994": 86, "-0.125": 6, "0.125": 10, "3.2187": 5, "3.25": 3, "0.0938": 5, "3.0": 11, "3.0938": 2, "0.031200000000000006": 11, "3.1563": 37, "-3.125": 166, "3.1562": 3, "0.06259999999999999": 4, "-0.06259999999999999": 3, "2.9375999999999998": 4, "3.0313": 10, "0.0937": 19, "3.1875": 2}	144.2617
8015	0.928	299	385	None	0.0605	-0.4344	-0.3212	4.41	28.9959	{"0.06259999999999999": 3, "0.031200000000000006": 15, "2.9375999999999998": 6, "3.125": 50, "3.0937": 22, "0.0": 385, "0.0938": 7, "10": 6, "3.2187": 6, "3.0312": 1, "0.0625": 2, "-0.0937": 13, "3.0938": 7, "-0.1874": 11, "3.1875999999999998": 6, "0.0937": 18, "-0.125": 22, "0.125": 14, "3.0313": 7, "3.0": 8, "3.0625": 1, "0.031299999999999994": 69, "3.25": 5, "3.0624000000000002": 5, "-0.031299999999999994": 78, "3.2188": 3, "-3.125": 161, "3.1562": 1, "-0.031200000000000006": 8, "0.1874": 19, "-0.0625": 1, "-0.06259999999999999": 3, "3.1563": 27, "-0.0938": 2, "3.1875": 6}	164.319
9003	0.9192	277	386	None	0.111	-0.139	-0.4437	5.0781	30.5624	{"0.0": 386, "-0.031299999999999994": 79, "2.9375999999999998": 5, "3.125": 44, "3.0937": 19, "-0.0625": 2, "-0.031200000000000006": 10, "-0.06259999999999999": 4, "3.0938": 7, "3.2187": 5, "3.0312": 2, "0.0625": 4, "-0.0937": 10, "3.1562": 2, "0.06259999999999999": 6, "3.1875999999999998": 1, "0.0937": 31, "-0.125": 17, "0.125": 18, "3.2188": 1, "3.0": 9, "0.031299999999999994": 88, "3.1875": 1, "-0.1874": 7, "3.0624000000000002": 2, "-0.0938": 5, "3.0313": 11, "-3.125": 143, "10": 13, "0.0938": 1, "0.1874": 17, "3.0625": 4, "3.1563": 19, "0.031200000000000006": 11, "3.25": 4}	185.3277
